Snow ;255 250 250;#FFFAFA
Ghost White;248 248 255;#F8F8FF
White Smoke;245 245 245;#F5F5F5
Gainsboro;220 220 220;#DCDCDC
Floral White;255 250 240;#FFFAF0
Old Lace;253 245 230;#FDF5E6
Linen;250 240 230;#FAF0E6
Antique White;250 235 215;#FAEBD7
Papaya Whip;255 239 213;#FFEFD5
Blanched Almond;255 235 205;#FFEBCD
Bisque;255 228 196;#FFE4C4
Peach Puff;255 218 185;#FFDAB9
Navajo White;255 222 173;#FFDEAD
Moccasin;255 228 181;#FFE4B5
Cornsilk;255 248 220;#FFF8DC
Ivory;255 255 240;#FFFFF0
Lemon Chiffon;255 250 205;#FFFACD
Seashell;255 245 238;#FFF5EE
Honeydew;240 255 240;#F0FFF0
Mint Cream;245 255 250;#F5FFFA
Azure;240 255 255;#F0FFFF
Alice Blue;240 248 255;#F0F8FF
Lavender;230 230 250;#E6E6FA
Lavender Blush;255 240 245;#FFF0F5
Misty Rose;255 228 225;#FFE4E1
White;255 255 255;#FFFFFF
Black;0 0 0;#000000
Dark Slate Gray;47 79 79;#2F4F4F
Dim Grey;105 105 105;#696969
Slate Grey;112 128 144;#708090
Light Slate Gray;119 136 153;#778899
Grey;190 190 190;#BEBEBE
Light Gray;211 211 211;#D3D3D3
Midnight Blue;25 25 112;#191970
Navy Blue;0 0 128;#000080
Cornflower Blue;100 149 237;#6495ED
Dark Slate Blue;72 61 139;#483D8B
Slate Blue;106 90 205;#6A5ACD
Medium Slate Blue;123 104 238;#7B68EE
Light SlateBlue;132 112 255;#8470FF
Medium Blue;0 0 205;#0000CD
Royal Blue;65 105 225;#4169E1
Blue ;0 0 255;#0000FF
Dodger Blue;30 144 255;#1E90FF
Deep Sky Blue;0 191 255;#00BFFF
Sky Blue;135 206 235;#87CEEB
Light Sky Blue;135 206 250;#87CEFA
Steel Blue;70 130 180;#4682B4
Light Steel Blue;176 196 222;#B0C4DE
Light Blue;173 216 230;#ADD8E6
Powder Blue;176 224 230;#B0E0E6
Pale Turquoise;175 238 238;#AFEEEE
Dark Turquoise;0 206 209;#00CED1
Medium Turquoise;72 209 204;#48D1CC
Turquoise;64 224 208;#40E0D0
Cyan ;0 255 255;#00FFFF
Light Cyan;224 255 255;#E0FFFF
Cadet Blue;95 158 160;#5F9EA0
Medium Aquamarine;102 205 170;#66CDAA
Aquamarine;127 255 212;#7FFFD4
Dark Green;0 100 0;#006400
Dark Olive Green;85 107 47;#556B2F
Dark Sea Green;143 188 143;#8FBC8F
SeaGreen;46 139 87;#2E8B57
MediumSeaGreen;60 179 113;#3CB371
