order_date,num,ref,quantite
07/11/2013,10120,JWAX009,1
10/11/2013,10075,JWAX017,2
10/11/2013,10101,JWAX004,1
11/11/2013,10111,JWAX013,2
12/11/2013,10066,JWAX001,1
13/11/2013,10101,JWAX006,1
14/11/2013,10066,JWAX004,1
17/11/2013,10120,JWAX020,1
18/11/2013,10085,JWAX006,1
23/11/2013,10151,JWAX004,1
23/11/2013,10111,JWAX007,1
30/11/2013,10132,JWAX020,2
01/12/2013,10075,JWAX018,2
14/12/2013,10102,JWAX014,4
16/12/2013,10146,JWAX020,3
16/12/2013,10138,JWAX010,3
16/12/2013,10138,JWAX016,1
18/12/2013,10128,JWAX014,1
22/12/2013,10138,JWAX004,2
22/12/2013,10075,JWAX001,2
